export OMP_PLACES=sockets
export OMP_PROC_BIND=close
export OMP_NUM_THREADS=64
k,processes,time_init,time_run
5000,1,0.380978,5.905335
7071,2,0.762625,5.751557
8660,3,1.135952,15.581878
10000,4,1.700293,15.808197
11180,5,1.886160,22.145614
12247,6,2.261961,22.185638
